Region,Year,Healthy (NCDRisC (2017)),Overweight or Obese (NCDRisC (2017)),Underweight (NCDRisC (2017))
Africa,2000,68.40377358490566,17.077358490566038,14.516981132075472
Africa,2001,68.23584905660377,17.426415094339625,14.345283018867924
Africa,2002,68.05471698113207,17.771698113207545,14.167924528301889
Africa,2003,67.87547169811322,18.137735849056604,13.99056603773585
Africa,2004,67.67169811320754,18.522641509433964,13.81132075471698
Africa,2005,67.45849056603774,18.918867924528303,13.624528301886793
Africa,2006,67.2377358490566,19.337735849056607,13.420754716981133
Africa,2007,66.98679245283019,19.775471698113204,13.218867924528302
Africa,2008,66.72452830188679,20.23584905660377,13.030188679245285
Africa,2009,66.47735849056605,20.68867924528302,12.828301886792453
Africa,2010,66.20377358490566,21.15471698113208,12.637735849056602
Africa,2011,65.92264150943396,21.626415094339624,12.449056603773585
Africa,2012,65.62264150943396,22.12264150943396,12.254716981132075
Africa,2013,65.30754716981133,22.63584905660377,12.060377358490566
Africa,2014,64.97169811320755,23.152830188679243,11.866037735849057
Americas,2000,52.641666666666666,43.48125,3.8791666666666664
Americas,2001,52.05833333333334,44.21458333333333,3.725
Americas,2002,51.47916666666667,44.94166666666666,3.5791666666666666
Americas,2003,50.889583333333334,45.679166666666674,3.43125
Americas,2004,50.28125,46.425,3.2958333333333334
Americas,2005,49.65625,47.193749999999994,3.166666666666667
Americas,2006,48.99375,47.97083333333333,3.033333333333333
Americas,2007,48.31666666666666,48.77083333333333,2.904166666666667
Americas,2008,47.64583333333333,49.5625,2.7958333333333334
Americas,2009,46.97916666666666,50.33541666666666,2.6791666666666667
Americas,2010,46.325,51.099999999999994,2.5854166666666667
Americas,2011,45.643750000000004,51.875,2.4791666666666665
Americas,2012,44.95833333333333,52.65416666666667,2.3916666666666666
Americas,2013,44.26875,53.44375000000001,2.29375
Americas,2014,43.58333333333333,54.210416666666674,2.2104166666666667
Asia,2000,57.794,32.514,9.704
Asia,2001,57.458,33.012,9.524
Asia,2002,57.12,33.536,9.34
Asia,2003,56.764,34.08,9.162
Asia,2004,56.374,34.652,8.984
Asia,2005,55.966,35.244,8.788
Asia,2006,55.53,35.861999999999995,8.602
Asia,2007,55.076,36.508,8.41
Asia,2008,54.61600000000001,37.17,8.216000000000001
Asia,2009,54.142,37.822,8.027999999999999
Asia,2010,53.666,38.5,7.837999999999999
Asia,2011,53.168,39.174,7.654
Asia,2012,52.682,39.856,7.468
Asia,2013,52.18600000000001,40.524,7.291999999999999
Asia,2014,51.682,41.194,7.114
Europe,2000,44.02682926829268,54.985365853658536,1.002439024390244
Europe,2001,43.4390243902439,55.6,0.9658536585365854
Europe,2002,42.85121951219512,56.22926829268293,0.9195121951219511
Europe,2003,42.24390243902439,56.863414634146345,0.8853658536585365
Europe,2004,41.61951219512196,57.5219512195122,0.8536585365853658
Europe,2005,41.0,58.18536585365853,0.8219512195121952
Europe,2006,40.34390243902439,58.87317073170732,0.7804878048780488
Europe,2007,39.70487804878049,59.556097560975616,0.7390243902439024
Europe,2008,39.0609756097561,60.22682926829269,0.7146341463414634
Europe,2009,38.49512195121951,60.82682926829269,0.6829268292682927
Europe,2010,37.9390243902439,61.40975609756098,0.6414634146341464
Europe,2011,37.39268292682927,61.98292682926829,0.624390243902439
Europe,2012,36.863414634146345,62.541463414634144,0.6024390243902439
Europe,2013,36.334146341463416,63.07560975609756,0.5780487804878048
Europe,2014,35.81951219512195,63.62439024390244,0.5536585365853658
Oceania,2000,35.43157894736842,63.72105263157895,0.8526315789473684
Oceania,2001,35.03157894736842,64.14736842105263,0.8368421052631579
Oceania,2002,34.642105263157895,64.53684210526316,0.8263157894736842
Oceania,2003,34.26315789473684,64.94736842105263,0.7947368421052632
Oceania,2004,33.89473684210526,65.34210526315789,0.7578947368421053
Oceania,2005,33.53157894736842,65.73157894736842,0.7421052631578947
Oceania,2006,33.16842105263158,66.10000000000001,0.7315789473684211
Oceania,2007,32.800000000000004,66.49473684210527,0.7105263157894737
Oceania,2008,32.40526315789474,66.89999999999999,0.7052631578947368
Oceania,2009,32.03684210526316,67.27368421052631,0.6947368421052631
Oceania,2010,31.673684210526314,67.65789473684211,0.6684210526315789
Oceania,2011,31.321052631578947,68.03684210526316,0.6578947368421053
Oceania,2012,30.93684210526316,68.42105263157895,0.6368421052631579
Oceania,2013,30.542105263157893,68.8157894736842,0.6157894736842104
Oceania,2014,30.157894736842103,69.22105263157896,0.6052631578947368
